Year,Site,Quadrat,Pocillopora % Cover
2011,LTER1,1,0
2011,LTER1,2,0
2011,LTER1,3,0
2011,LTER1,4,0
2011,LTER1,5,0
2011,LTER1,6,0
2011,LTER1,7,0
2011,LTER1,8,1
2011,LTER1,9,0
2011,LTER1,10,0.5
2011,LTER1,11,0
2011,LTER1,12,0
2011,LTER1,13,0
2011,LTER1,14,0
2011,LTER1,15,0
2011,LTER1,16,0
2011,LTER1,17,0
2011,LTER1,18,1.1
2011,LTER1,19,0
2011,LTER1,20,0
2011,LTER1,21,0
2011,LTER1,22,0
2011,LTER1,25,0
2011,LTER1,26,0
2011,LTER1,27,0
2011,LTER1,28,0
2011,LTER1,29,0
2011,LTER1,30,0.5
2011,LTER1,31,0
2011,LTER1,32,0
2011,LTER1,33,0
2011,LTER1,34,0
2011,LTER1,35,0
2011,LTER1,36,0.6
2011,LTER1,37,0
2011,LTER1,38,0
2011,LTER1,39,0
2011,LTER1,40,0
2012,LTER1,1,1.1
2012,LTER1,2,1.7
2012,LTER1,3,1.6
2012,LTER1,4,0.5
2012,LTER1,5,0
2012,LTER1,6,0.5
2012,LTER1,7,5.4
2012,LTER1,8,3.3
2012,LTER1,9,6
2012,LTER1,10,3.8
2012,LTER1,11,1.6
2012,LTER1,12,1.6
2012,LTER1,13,0.5
2012,LTER1,14,1.1
2012,LTER1,15,2.1
2012,LTER1,16,0.5
2012,LTER1,17,0
2012,LTER1,18,3.7
2012,LTER1,19,0.6
2012,LTER1,20,3.2
2012,LTER1,21,0
2012,LTER1,22,1.6
2012,LTER1,25,3.8
2012,LTER1,26,4.7
2012,LTER1,27,3.8
2012,LTER1,28,0.5
2012,LTER1,29,2.3
2012,LTER1,30,0.5
2012,LTER1,31,1.7
2012,LTER1,32,1.1
2012,LTER1,33,2.7
2012,LTER1,34,1.6
2012,LTER1,35,2.6
2012,LTER1,36,4.9
2012,LTER1,37,1.6
2012,LTER1,38,1.7
2012,LTER1,39,1.1
2012,LTER1,40,0.6
2013,LTER1,1,10.5
2013,LTER1,2,12
2013,LTER1,3,9.3
2013,LTER1,4,3.8
2013,LTER1,5,2.7
2013,LTER1,6,5.8
2013,LTER1,7,13.7
2013,LTER1,8,19.8
2013,LTER1,9,4.4
2013,LTER1,10,17.8
2013,LTER1,11,6
2013,LTER1,12,11.2
2013,LTER1,13,11.5
2013,LTER1,14,7
2013,LTER1,15,9.5
2013,LTER1,16,0.6
2013,LTER1,17,2.8
2013,LTER1,18,9.5
2013,LTER1,19,4.3
2013,LTER1,20,9
2013,LTER1,21,5.6
2013,LTER1,22,5.3
2013,LTER1,25,11.2
2013,LTER1,26,10.7
2013,LTER1,27,9.7
2013,LTER1,28,7.8
2013,LTER1,29,9.5
2013,LTER1,30,6.1
2013,LTER1,31,8.6
2013,LTER1,32,7
2013,LTER1,33,8.6
2013,LTER1,34,19.2
2013,LTER1,35,11.3
2013,LTER1,36,12.2
2013,LTER1,37,4.3
2013,LTER1,38,2.2
2013,LTER1,39,5
2013,LTER1,40,8.2
2014,LTER1,1,15.8
2014,LTER1,2,36.8
2014,LTER1,3,31.6
2014,LTER1,4,25.4
2014,LTER1,5,8.7
2014,LTER1,6,11.3
2014,LTER1,7,32.1
